--- AR Telemetry Log Started at 2026-04-30T09:31:16.340Z ---
2026-04-30T09:31:25.302Z | 09:09:57.241 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 22576ms from boot
2026-04-30T09:31:25.302Z | 09:09:59.237 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 24572ms from boot
2026-04-30T09:31:25.302Z | 09:10:01.238 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 26573ms from boot
2026-04-30T09:31:25.302Z | 09:10:03.236 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 28571ms from boot
2026-04-30T09:31:25.302Z | 09:10:05.235 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 30570ms from boot
2026-04-30T09:31:25.302Z | 09:10:07.236 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 32571ms from boot
2026-04-30T09:31:25.302Z | 09:10:09.232 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 34567ms from boot
2026-04-30T09:31:25.302Z | 09:10:11.232 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 36567ms from boot
2026-04-30T09:31:25.302Z | 09:10:13.234 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 38569ms from boot
2026-04-30T09:31:25.302Z | 09:10:15.235 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 40570ms from boot
2026-04-30T09:31:25.302Z | 09:10:17.234 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 42569ms from boot
2026-04-30T09:31:25.302Z | 09:10:19.237 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 44572ms from boot
2026-04-30T09:31:25.302Z | 09:10:21.235 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 46569ms from boot
2026-04-30T09:31:25.302Z | 09:10:23.237 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 48572ms from boot
2026-04-30T09:31:25.302Z | 09:10:25.237 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 50571ms from boot
2026-04-30T09:31:25.302Z | 09:10:27.233 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 52568ms from boot
2026-04-30T09:31:25.302Z | 09:10:29.238 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 54573ms from boot
2026-04-30T09:31:25.302Z | 09:10:31.238 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 56572ms from boot
2026-04-30T09:31:25.302Z | 09:10:33.239 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 58574ms from boot
2026-04-30T09:31:25.302Z | 09:10:35.238 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 60573ms from boot
2026-04-30T09:31:25.302Z | 09:10:37.238 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 62572ms from boot
2026-04-30T09:31:25.302Z | 09:10:39.235 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 64570ms from boot
2026-04-30T09:31:25.302Z | 09:10:41.233 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 66568ms from boot
2026-04-30T09:31:25.302Z | 09:10:43.233 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 68568ms from boot
2026-04-30T09:31:25.302Z | 09:10:45.235 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 70570ms from boot
2026-04-30T09:31:25.302Z | 09:31:23.664 | phase1 | P1:life:visibility | {"state":"visible"} | 1308998ms from boot
2026-04-30T09:31:25.302Z | 09:31:23.936 | phase1 | P1:video:event | pause | {"readyState":4,"videoW":1080,"videoH":1920,"trackState":"live","trackLabel":"camera 0, facing back"} | 1309271ms from boot
2026-04-30T09:31:25.302Z | 09:31:23.996 | phase1 | P1:life:resize | {"innerW":411,"innerH":806,"dpr":2.625} | 1309331ms from boot
